variant_id,lemma,type,en_US,en_GB,en_AU,en_CA,notes,source
spelling_only-00048,anesthetized,spelling_only,anesthetized,anaesthetised,,,,uk2us
spelling_only-00049,anesthetizes,spelling_only,anesthetizes,anaesthetises,,,,uk2us
spelling_only-00050,anesthetizing,spelling_only,anesthetizing,anaesthetising,,,,uk2us
spelling_only-00063,anglicize,spelling_only,anglicize,anglicise,,,,breame_spellings;uk2us
spelling_only-00064,anglicized,spelling_only,anglicized,anglicised,,,,breame_spellings;uk2us
spelling_only-00065,anglicizes,spelling_only,anglicizes,anglicises,,,,breame_spellings;uk2us
spelling_only-00066,anglicizing,spelling_only,anglicizing,anglicising,,,,breame_spellings;uk2us
spelling_only-00067,annualized,spelling_only,annualized,annualised,,,,breame_spellings;uk2us
spelling_only-00068,antagonize,spelling_only,antagonize,antagonise,,,,breame_spellings;uk2us
spelling_only-00069,antagonized,spelling_only,antagonized,antagonised,,,,breame_spellings;uk2us
spelling_only-00070,antagonizes,spelling_only,antagonizes,antagonises,,,,breame_spellings;uk2us
spelling_only-00071,antagonizing,spelling_only,antagonizing,antagonising,,,,breame_spellings;uk2us
spelling_only-00072,apologize,spelling_only,apologize,apologise,,,,breame_spellings;uk2us
spelling_only-00073,apologized,spelling_only,apologized,apologised,,,,breame_spellings;uk2us
spelling_only-00074,apologizes,spelling_only,apologizes,apologises,,,,breame_spellings;uk2us
spelling_only-00075,apologizing,spelling_only,apologizing,apologising,,,,breame_spellings;uk2us
spelling_only-00076,appall,spelling_only,appall,appal,,,,breame_spellings;uk2us
spelling_only-00077,appalls,spelling_only,appalls,appals,,,,breame_spellings;uk2us
spelling_only-00078,appetizer,spelling_only,appetizer,appetiser,,,,breame_spellings;uk2us
spelling_only-00079,appetizers,spelling_only,appetizers,appetisers,,,,breame_spellings;uk2us
spelling_only-00080,appetizing,spelling_only,appetizing,appetising,,,,breame_spellings;uk2us
spelling_only-00081,appetizingly,spelling_only,appetizingly,appetisingly,,,,breame_spellings;uk2us
spelling_only-00082,arbor,spelling_only,arbor,arbour,,,,breame_spellings;uk2us
spelling_only-00083,arbors,spelling_only,arbors,arbours,,,,breame_spellings;uk2us
spelling_only-00084,archeologically,spelling_only,archeologically,archaeologically,,,,breame_spellings;uk2us
spelling_only-00085,archeologist,spelling_only,archeologist,archaeologist,,,,breame_spellings;uk2us
spelling_only-00086,archeologists,spelling_only,archeologists,archaeologists,,,,breame_spellings;uk2us
spelling_only-00087,ardor,spelling_only,ardor,ardour,,,,breame_spellings;uk2us
spelling_only-00088,armor,spelling_only,armor,armour,,,,breame_spellings;uk2us
spelling_only-00089,armored,spelling_only,armored,armoured,,,,breame_spellings;uk2us
spelling_only-00090,armorer,spelling_only,armorer,armourer,,,,breame_spellings;uk2us
spelling_only-00091,armorers,spelling_only,armorers,armourers,,,,breame_spellings;uk2us
spelling_only-00092,armories,spelling_only,armories,armouries,,,,breame_spellings;uk2us
spelling_only-00093,armory,spelling_only,armory,armoury,,,,breame_spellings;uk2us
spelling_only-00094,artifact,spelling_only,artifact,artefact,,,,breame_spellings;uk2us
spelling_only-00095,artifacts,spelling_only,artifacts,artefacts,,,,breame_spellings;uk2us
spelling_only-00096,authorize,spelling_only,authorize,authorise,,,,breame_spellings;uk2us
spelling_only-00097,authorized,spelling_only,authorized,authorised,,,,breame_spellings;uk2us
spelling_only-00098,authorizes,spelling_only,authorizes,authorises,,,,breame_spellings;uk2us
spelling_only-00099,authorizing,spelling_only,authorizing,authorising,,,,breame_spellings;uk2us
spelling_only-00100,ax,spelling_only,ax,axe,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00101,backpedaled,spelling_only,backpedaled,backpedalled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00102,backpedaling,spelling_only,backpedaling,backpedalling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00113,balk,spelling_only,balk,baulk,,,,breame_spellings;uk2us
spelling_only-00114,balked,spelling_only,balked,baulked,,,,breame_spellings;uk2us
spelling_only-00115,balking,spelling_only,balking,baulking,,,,breame_spellings;uk2us
spelling_only-00116,balks,spelling_only,balks,baulks,,,,breame_spellings;uk2us
spelling_only-00103,banister,spelling_only,banister,bannister,,,,breame_spellings;uk2us
spelling_only-00104,banisters,spelling_only,banisters,bannisters,,,,breame_spellings;uk2us
spelling_only-00105,baptize,spelling_only,baptize,baptise,,,,breame_spellings;uk2us
spelling_only-00106,baptized,spelling_only,baptized,baptised,,,,breame_spellings;uk2us
spelling_only-00107,baptizes,spelling_only,baptizes,baptises,,,,breame_spellings;uk2us
spelling_only-00108,baptizing,spelling_only,baptizing,baptising,,,,breame_spellings;uk2us
spelling_only-00109,bastardize,spelling_only,bastardize,bastardise,,,,breame_spellings;uk2us
spelling_only-00110,bastardized,spelling_only,bastardized,bastardised,,,,breame_spellings;uk2us
spelling_only-00111,bastardizes,spelling_only,bastardizes,bastardises,,,,breame_spellings;uk2us
spelling_only-00112,bastardizing,spelling_only,bastardizing,bastardising,,,,breame_spellings;uk2us
spelling_only-00117,bedeviled,spelling_only,bedeviled,bedevilled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00118,bedeviling,spelling_only,bedeviling,bedevilling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00119,behavior,spelling_only,behavior,behaviour,,,,breame_spellings;uk2us
spelling_only-00120,behavioral,spelling_only,behavioral,behavioural,,,,breame_spellings;uk2us
spelling_only-00121,behaviorism,spelling_only,behaviorism,behaviourism,,,,breame_spellings;uk2us
spelling_only-00122,behaviorist,spelling_only,behaviorist,behaviourist,,,,breame_spellings;uk2us
spelling_only-00123,behaviorists,spelling_only,behaviorists,behaviourists,,,,breame_spellings;uk2us
spelling_only-00124,behaviors,spelling_only,behaviors,behaviours,,,,breame_spellings;uk2us
spelling_only-00125,behoove,spelling_only,behoove,behove,,,,breame_spellings;uk2us
spelling_only-00126,behooved,spelling_only,behooved,behoved,,,,breame_spellings;uk2us
spelling_only-00127,behooves,spelling_only,behooves,behoves,,,,breame_spellings;uk2us
spelling_only-00128,bejeweled,spelling_only,bejeweled,bejewelled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00129,belabor,spelling_only,belabor,belabour,,,,breame_spellings;uk2us
spelling_only-00130,belabored,spelling_only,belabored,belaboured,,,,breame_spellings;uk2us
spelling_only-00131,belaboring,spelling_only,belaboring,belabouring,,,,breame_spellings;uk2us
spelling_only-00132,belabors,spelling_only,belabors,belabours,,,,breame_spellings;uk2us
spelling_only-00133,beveled,spelling_only,beveled,bevelled,,,,breame_spellings;uk2us
spelling_only-00134,bevies,spelling_only,bevies,bevvies,,,,breame_spellings;uk2us
spelling_only-00135,bevy,spelling_only,bevy,bevvy,,,,breame_spellings;uk2us
spelling_only-00136,biased,spelling_only,biased,biassed,,,,breame_spellings;uk2us
spelling_only-00137,biasing,spelling_only,biasing,biassing,,,,breame_spellings;uk2us
spelling_only-00138,binging,spelling_only,binging,bingeing,,,,breame_spellings;uk2us
spelling_only-00139,bougainvillea,spelling_only,bougainvillea,bougainvillaea,,,,breame_spellings;uk2us
spelling_only-00140,bougainvilleas,spelling_only,bougainvilleas,bougainvillaeas,,,,breame_spellings;uk2us
spelling_only-00141,bowdlerize,spelling_only,bowdlerize,bowdlerise,,,,breame_spellings;uk2us
spelling_only-00142,bowdlerized,spelling_only,bowdlerized,bowdlerised,,,,breame_spellings;uk2us
spelling_only-00143,bowdlerizes,spelling_only,bowdlerizes,bowdlerises,,,,breame_spellings;uk2us
spelling_only-00144,bowdlerizing,spelling_only,bowdlerizing,bowdlerising,,,,breame_spellings;uk2us
spelling_only-00145,breathalyze,spelling_only,breathalyze,breathalyse,,,,breame_spellings;uk2us
spelling_only-00146,breathalyzed,spelling_only,breathalyzed,breathalysed,,,,breame_spellings;uk2us
spelling_only-00147,breathalyzer,spelling_only,breathalyzer,breathalyser,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00148,breathalyzers,spelling_only,breathalyzers,breathalysers,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00149,breathalyzes,spelling_only,breathalyzes,breathalyses,,,,breame_spellings;uk2us
spelling_only-00150,breathalyzing,spelling_only,breathalyzing,breathalysing,,,,breame_spellings;uk2us
spelling_only-00151,brutalize,spelling_only,brutalize,brutalise,,,,breame_spellings;uk2us
spelling_only-00152,brutalized,spelling_only,brutalized,brutalised,,,,breame_spellings;uk2us
spelling_only-00153,brutalizes,spelling_only,brutalizes,brutalises,,,,breame_spellings;uk2us
spelling_only-00154,brutalizing,spelling_only,brutalizing,brutalising,,,,breame_spellings;uk2us
spelling_only-00157,caliber,spelling_only,caliber,calibre,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00158,calibers,spelling_only,calibers,calibres,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00159,caliper,spelling_only,caliper,calliper,,,,breame_spellings;uk2us
spelling_only-00160,calipers,spelling_only,calipers,callipers,,,,breame_spellings;uk2us
spelling_only-00161,calisthenics,spelling_only,calisthenics,callisthenics,,,,breame_spellings;uk2us
spelling_only-00162,canalize,spelling_only,canalize,canalise,,,,breame_spellings;uk2us
spelling_only-00163,canalized,spelling_only,canalized,canalised,,,,breame_spellings;uk2us
spelling_only-00164,canalizes,spelling_only,canalizes,canalises,,,,breame_spellings;uk2us
spelling_only-00165,canalizing,spelling_only,canalizing,canalising,,,,breame_spellings;uk2us
spelling_only-00166,canceled,spelling_only,canceled,cancelled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00167,canceling,spelling_only,canceling,cancelling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00168,candor,spelling_only,candor,candour,,,,breame_spellings;uk2us
spelling_only-00169,cannibalize,spelling_only,cannibalize,cannibalise,,,,breame_spellings;uk2us
spelling_only-00170,cannibalized,spelling_only,cannibalized,cannibalised,,,,breame_spellings;uk2us
spelling_only-00171,cannibalizes,spelling_only,cannibalizes,cannibalises,,,,breame_spellings;uk2us
spelling_only-00172,cannibalizing,spelling_only,cannibalizing,cannibalising,,,,breame_spellings;uk2us
spelling_only-00173,canonize,spelling_only,canonize,canonise,,,,breame_spellings;uk2us
spelling_only-00174,canonized,spelling_only,canonized,canonised,,,,breame_spellings;uk2us
spelling_only-00175,canonizes,spelling_only,canonizes,canonises,,,,breame_spellings;uk2us
spelling_only-00176,canonizing,spelling_only,canonizing,canonising,,,,breame_spellings;uk2us
spelling_only-00177,capitalize,spelling_only,capitalize,capitalise,,,,breame_spellings;uk2us
spelling_only-00178,capitalized,spelling_only,capitalized,capitalised,,,,breame_spellings;uk2us
spelling_only-00179,capitalizes,spelling_only,capitalizes,capitalises,,,,breame_spellings;uk2us
spelling_only-00180,capitalizing,spelling_only,capitalizing,capitalising,,,,breame_spellings;uk2us
spelling_only-00181,caramelize,spelling_only,caramelize,caramelise,,,,breame_spellings;uk2us
spelling_only-00182,caramelized,spelling_only,caramelized,caramelised,,,,breame_spellings;uk2us
spelling_only-00183,caramelizes,spelling_only,caramelizes,caramelises,,,,breame_spellings;uk2us
spelling_only-00184,caramelizing,spelling_only,caramelizing,caramelising,,,,breame_spellings;uk2us
spelling_only-00185,carbonize,spelling_only,carbonize,carbonise,,,,breame_spellings;uk2us
spelling_only-00186,carbonized,spelling_only,carbonized,carbonised,,,,breame_spellings;uk2us
spelling_only-00187,carbonizes,spelling_only,carbonizes,carbonises,,,,breame_spellings;uk2us
spelling_only-00188,carbonizing,spelling_only,carbonizing,carbonising,,,,breame_spellings;uk2us
spelling_only-00189,caroled,spelling_only,caroled,carolled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00190,caroling,spelling_only,caroling,carolling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00191,catalog,spelling_only,catalog,catalogue,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00192,cataloged,spelling_only,cataloged,catalogued,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00194,cataloging,spelling_only,cataloging,cataloguing,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00193,catalogs,spelling_only,catalogs,catalogues,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00195,catalyze,spelling_only,catalyze,catalyse,,,,breame_spellings;uk2us
spelling_only-00196,catalyzed,spelling_only,catalyzed,catalysed,,,,breame_spellings;uk2us
spelling_only-00197,catalyzes,spelling_only,catalyzes,catalyses,,,,breame_spellings;uk2us
spelling_only-00198,catalyzing,spelling_only,catalyzing,catalysing,,,,breame_spellings;uk2us
spelling_only-00199,categorize,spelling_only,categorize,categorise,,,,breame_spellings;uk2us
spelling_only-00200,categorized,spelling_only,categorized,categorised,,,,breame_spellings;uk2us
spelling_only-00201,categorizes,spelling_only,categorizes,categorises,,,,breame_spellings;uk2us
spelling_only-00202,categorizing,spelling_only,categorizing,categorising,,,,breame_spellings;uk2us
spelling_only-00203,cauterize,spelling_only,cauterize,cauterise,,,,breame_spellings;uk2us
spelling_only-00204,cauterized,spelling_only,cauterized,cauterised,,,,breame_spellings;uk2us
spelling_only-00205,cauterizes,spelling_only,cauterizes,cauterises,,,,breame_spellings;uk2us
spelling_only-00206,cauterizing,spelling_only,cauterizing,cauterising,,,,breame_spellings;uk2us
spelling_only-00207,caviled,spelling_only,caviled,cavilled,,,,breame_spellings;uk2us
spelling_only-00208,caviling,spelling_only,caviling,cavilling,,,,breame_spellings;uk2us
spelling_only-00219,center,spelling_only,center,centre,,,,breame_spellings;uk2us
spelling_only-00220,centered,spelling_only,centered,centred,,,,breame_spellings;uk2us
spelling_only-00221,centerfold,spelling_only,centerfold,centrefold,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00222,centerfolds,spelling_only,centerfolds,centrefolds,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00223,centerpiece,spelling_only,centerpiece,centrepiece,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00224,centerpieces,spelling_only,centerpieces,centrepieces,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00225,centers,spelling_only,centers,centres,,,,breame_spellings;uk2us
spelling_only-00209,centigram,spelling_only,centigram,centigramme,,,,breame_spellings;uk2us
spelling_only-00210,centigrams,spelling_only,centigrams,centigrammes,,,,breame_spellings;uk2us
spelling_only-00211,centiliter,spelling_only,centiliter,centilitre,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00212,centiliters,spelling_only,centiliters,centilitres,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00213,centimeter,spelling_only,centimeter,centimetre,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00214,centimeters,spelling_only,centimeters,centimetres,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00215,centralize,spelling_only,centralize,centralise,,,,breame_spellings;uk2us
spelling_only-00216,centralized,spelling_only,centralized,centralised,,,,breame_spellings;uk2us
spelling_only-00217,centralizes,spelling_only,centralizes,centralises,,,,breame_spellings;uk2us
spelling_only-00218,centralizing,spelling_only,centralizing,centralising,,,,breame_spellings;uk2us
spelling_only-00155,cesarean,spelling_only,cesarean,caesarean,,,,breame_spellings;uk2us
spelling_only-00156,cesareans,spelling_only,cesareans,caesareans,,,,breame_spellings;uk2us
spelling_only-00226,channeled,spelling_only,channeled,channelled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00227,channeling,spelling_only,channeling,channelling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00228,characterize,spelling_only,characterize,characterise,,,,breame_spellings;uk2us
spelling_only-00229,characterized,spelling_only,characterized,characterised,,,,breame_spellings;uk2us
spelling_only-00230,characterizes,spelling_only,characterizes,characterises,,,,breame_spellings;uk2us
spelling_only-00231,characterizing,spelling_only,characterizing,characterising,,,,breame_spellings;uk2us
spelling_only-00232,check,spelling_only,check,cheque,,,,uk2us
spelling_only-00233,checkbook,spelling_only,checkbook,chequebook,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00234,checkbooks,spelling_only,checkbooks,chequebooks,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00235,checkered,spelling_only,checkered,chequered,,,,breame_spellings;uk2us
spelling_only-00236,checks,spelling_only,checks,cheques,,,,uk2us
spelling_only-00237,chili,spelling_only,chili,chilli,,,,breame_spellings;uk2us
spelling_only-00238,chimera,spelling_only,chimera,chimaera,,,,breame_spellings;uk2us
spelling_only-00239,chimeras,spelling_only,chimeras,chimaeras,,,,breame_spellings;uk2us
spelling_only-00240,chiseled,spelling_only,chiseled,chiselled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00241,chiseling,spelling_only,chiseling,chiselling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00337,cipher,spelling_only,cipher,cypher,,,,uk2us
spelling_only-00338,ciphers,spelling_only,ciphers,cyphers,,,,uk2us
spelling_only-00242,circularize,spelling_only,circularize,circularise,,,,breame_spellings;uk2us
spelling_only-00243,circularized,spelling_only,circularized,circularised,,,,breame_spellings;uk2us
spelling_only-00244,circularizes,spelling_only,circularizes,circularises,,,,breame_spellings;uk2us
spelling_only-00245,circularizing,spelling_only,circularizing,circularising,,,,breame_spellings;uk2us
spelling_only-00246,civilize,spelling_only,civilize,civilise,,,,breame_spellings;uk2us
spelling_only-00247,civilized,spelling_only,civilized,civilised,,,,breame_spellings;uk2us
spelling_only-00248,civilizes,spelling_only,civilizes,civilises,,,,breame_spellings;uk2us
spelling_only-00249,civilizing,spelling_only,civilizing,civilising,,,,breame_spellings;uk2us
spelling_only-00250,clamor,spelling_only,clamor,clamour,,,,breame_spellings;uk2us
spelling_only-00251,clamored,spelling_only,clamored,clamoured,,,,breame_spellings;uk2us
spelling_only-00252,clamoring,spelling_only,clamoring,clamouring,,,,breame_spellings;uk2us
spelling_only-00253,clamors,spelling_only,clamors,clamours,,,,breame_spellings;uk2us
spelling_only-00254,clangor,spelling_only,clangor,clangour,,,,breame_spellings;uk2us
spelling_only-00255,clarinetist,spelling_only,clarinetist,clarinettist,,,,breame_spellings;uk2us
spelling_only-00256,clarinetists,spelling_only,clarinetists,clarinettists,,,,breame_spellings;uk2us
spelling_only-00257,collectivize,spelling_only,collectivize,collectivise,,,,breame_spellings;uk2us
spelling_only-00258,collectivized,spelling_only,collectivized,collectivised,,,,breame_spellings;uk2us
spelling_only-00259,collectivizes,spelling_only,collectivizes,collectivises,,,,breame_spellings;uk2us
spelling_only-00260,collectivizing,spelling_only,collectivizing,collectivising,,,,breame_spellings;uk2us
spelling_only-00261,colonization,spelling_only,colonization,colonisation,,,,breame_spellings;uk2us
spelling_only-00262,colonize,spelling_only,colonize,colonise,,,,breame_spellings;uk2us
spelling_only-00263,colonized,spelling_only,colonized,colonised,,,,breame_spellings;uk2us
spelling_only-00264,colonizer,spelling_only,colonizer,coloniser,,,,breame_spellings;uk2us
spelling_only-00265,colonizers,spelling_only,colonizers,colonisers,,,,breame_spellings;uk2us
spelling_only-00266,colonizes,spelling_only,colonizes,colonises,,,,breame_spellings;uk2us
spelling_only-00267,colonizing,spelling_only,colonizing,colonising,,,,breame_spellings;uk2us
spelling_only-00268,color,spelling_only,color,colour,,,,breame_spellings;uk2us
spelling_only-00269,colorant,spelling_only,colorant,colourant,,,,breame_spellings;uk2us
spelling_only-00270,colorants,spelling_only,colorants,colourants,,,,breame_spellings;uk2us
spelling_only-00271,colored,spelling_only,colored,coloured,,,,breame_spellings;uk2us
spelling_only-00272,coloreds,spelling_only,coloreds,coloureds,,,,breame_spellings;uk2us
spelling_only-00273,colorful,spelling_only,colorful,colourful,,,,breame_spellings;uk2us
spelling_only-00274,colorfully,spelling_only,colorfully,colourfully,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00275,coloring,spelling_only,coloring,colouring,,,,breame_spellings;uk2us
spelling_only-00276,colorize,spelling_only,colorize,colourize,,,,breame_spellings;uk2us
spelling_only-00277,colorized,spelling_only,colorized,colourized,,,,breame_spellings;uk2us
spelling_only-00278,colorizes,spelling_only,colorizes,colourizes,,,,breame_spellings;uk2us
spelling_only-00279,colorizing,spelling_only,colorizing,colourizing,,,,breame_spellings;uk2us
spelling_only-00280,colorless,spelling_only,colorless,colourless,,,,breame_spellings;uk2us
spelling_only-00281,colors,spelling_only,colors,colours,,,,breame_spellings;uk2us
spelling_only-00282,commercialize,spelling_only,commercialize,commercialise,,,,breame_spellings;uk2us
spelling_only-00283,commercialized,spelling_only,commercialized,commercialised,,,,breame_spellings;uk2us
spelling_only-00284,commercializes,spelling_only,commercializes,commercialises,,,,breame_spellings;uk2us
spelling_only-00285,commercializing,spelling_only,commercializing,commercialising,,,,breame_spellings;uk2us
spelling_only-00286,compartmentalize,spelling_only,compartmentalize,compartmentalise,,,,breame_spellings;uk2us
spelling_only-00287,compartmentalized,spelling_only,compartmentalized,compartmentalised,,,,breame_spellings;uk2us
spelling_only-00288,compartmentalizes,spelling_only,compartmentalizes,compartmentalises,,,,breame_spellings;uk2us
spelling_only-00289,compartmentalizing,spelling_only,compartmentalizing,compartmentalising,,,,breame_spellings;uk2us
spelling_only-00290,computerize,spelling_only,computerize,computerise,,,,breame_spellings;uk2us
spelling_only-00291,computerized,spelling_only,computerized,computerised,,,,breame_spellings;uk2us
spelling_only-00292,computerizes,spelling_only,computerizes,computerises,,,,breame_spellings;uk2us
spelling_only-00293,computerizing,spelling_only,computerizing,computerising,,,,breame_spellings;uk2us
spelling_only-00294,conceptualize,spelling_only,conceptualize,conceptualise,,,,breame_spellings;uk2us
spelling_only-00295,conceptualized,spelling_only,conceptualized,conceptualised,,,,breame_spellings;uk2us
spelling_only-00296,conceptualizes,spelling_only,conceptualizes,conceptualises,,,,breame_spellings;uk2us
spelling_only-00297,conceptualizing,spelling_only,conceptualizing,conceptualising,,,,breame_spellings;uk2us
spelling_only-00298,connection,spelling_only,connection,connexion,,,,breame_spellings;uk2us
spelling_only-00299,connections,spelling_only,connections,connexions,,,,breame_spellings;uk2us
spelling_only-00300,contextualize,spelling_only,contextualize,contextualise,,,,breame_spellings;uk2us
spelling_only-00301,contextualized,spelling_only,contextualized,contextualised,,,,breame_spellings;uk2us
spelling_only-00302,contextualizes,spelling_only,contextualizes,contextualises,,,,breame_spellings;uk2us
spelling_only-00303,contextualizing,spelling_only,contextualizing,contextualising,,,,breame_spellings;uk2us
spelling_only-00310,councilor,spelling_only,councilor,councillor,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00311,councilors,spelling_only,councilors,councillors,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00312,counseled,spelling_only,counseled,counselled,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00313,counseling,spelling_only,counseling,counselling,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00314,counselor,spelling_only,counselor,counsellor,,,,breame_spellings;uk2us
spelling_only-00315,counselors,spelling_only,counselors,counsellors,,,,breame_spellings;uk2us
spelling_only-00304,cozier,spelling_only,cozier,cosier,,,,breame_spellings;uk2us
spelling_only-00305,cozies,spelling_only,cozies,cosies,,,,breame_spellings;uk2us
spelling_only-00306,coziest,spelling_only,coziest,cosiest,,,,breame_spellings;uk2us
spelling_only-00307,cozily,spelling_only,cozily,cosily,,,,breame_spellings;uk2us
spelling_only-00308,coziness,spelling_only,coziness,cosiness,,,,breame_spellings;uk2us
spelling_only-00309,cozy,spelling_only,cozy,cosy,,,,breame_spellings;uk2us
spelling_only-00316,criminalize,spelling_only,criminalize,criminalise,,,,breame_spellings;uk2us
